사업코드,사업구분,사업명,X좌표,Y좌표
WJ1993E007_BA01001,도로의 건설,문막~원주간 도로확장 및 포장공사,1033378.511,1926790.217
HG2006J001_BA01001,개간 및 공유수면의 매립,송도해안도로 확장 및 공유수면 매립공사,927292.351,1932469.502
DG2009J001_BA01001,개간 및 공유수면의 매립,형산강변도로(송도지구) 공유수면매립,1169191.303,1784031.987
ME2010J001_BA01001,개간 및 공유수면의 매립,새만금지구 간척종합개발사업(의복석산 개발사업),922133.1897,1750263.507
HG1997C002_BA01001,공항 또는 비행장의 건설,345KV영흥도관련송전선로(2구간)건설사업,930333.3681,1921979.552
HG2006G001_BA01001,공항 또는 비행장의 건설,의정부경전철 민간투자 시설사업,960707.2272,1971774.791
HG1996C002_BA01001,공항 또는 비행장의 건설,345KV영흥도관련송전선로(1구간)건설사업,918943.4272,1921517.385
HG1995C007_BA01001,공항 또는 비행장의 건설,345kv삼천포-신김해시송전선로건설,1081842.125,1683800.978
ME1997P003_BA01001,국방군사시설의 설치,'96 교-비-1 시설공사,1104614.629,1767068.247
HG2010P001_BA01001,국방군사시설의 설치,서울기지 시설보완공사(공군),966007.9561,1940005.302
HG2012P001_BA01001,국방군사시설의 설치,00비상활주로 대체시설,955209.4987,1917154.567
HG2007E009_BA01001,도로의 건설,포곡-양지 도시고속화도로 민간투자사업,979818.4529,1917011.435
JJ2001E005_BA01001,도로의 건설,적상-무주IC간 도로확·포장공사,1014052.932,1771852.54
DG2009E001_BA01001,도로의 건설,국가지원지방도 67호선(대구시계~고령개진) 건설공사,1075225.921,1744081.503
ND2001E004_BA01001,도로의 건설,울산-강동간 도로4차선확장및포장공사(울산광역시 북구 연암동~경북 경주시 양남면 수렴리) (재협의),1175424.664,1738542.583
DG2006E012_BA01001,도로의 건설,영주 풍기~단산간 도로 확포장공사,1093173.701,1877782.881
GG2009E003_BA01001,도로의 건설,서산~창리간 지방도 확.포장공사,901259.4232,1856838.992
HG2002E005_BA01001,도로의 건설,영통지구-상현리간 도로개설공사,962497.3908,1920696.013
ND2000E012_BA01001,도로의 건설,국가지원지방도 60호선(양산-동면간) 도로4차로 확장공사(재협의),1145895.713,1706397.288
GG1999E001_BA01001,도로의 건설,구룡-부여간 도로확장 및 포장공사,942802.9005,1807164.783
HG1992E003_BA01001,도로의 건설,경인우회유료고속화도로 타당성조사 및 기본설계,937363.2948,1941348.213
YS2005E012_BA01001,도로의 건설,군내~고군 도로확장공사,889360.3798,1617943.222
